date,entry_time,side,setup,grade,daily_bias,ovn_pos,exit_reason,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2026-01-21,10:30,LONG,PM_LONG,A+,BOTH,0.738,stop,112.26,1,4.014,5.09,0,65.34,0.2732,1,108.8,1,1,1,53.5
2026-01-21,11:30,LONG,PM_LONG,A+,BOTH,0.738,stop,-102.24,0,6.609,2.66,0,65.51,0.2861,1,116.5,1,1,1,33.7
2026-01-22,10:30,LONG,VWAP_LONG,A,LONG,0.963,stop,-0.74,0,1.825,34.2,0,52.58,-0.2602,1,270.5,1,1,1,58.5
2026-01-22,11:00,LONG,VWAP_LONG,A,LONG,0.963,stop,104.76,1,2.522,30.45,0,55.52,-0.2264,1,274.2,1,1,1,40.8
2026-01-26,10:30,LONG,PM_LONG,A+,LONG,0.996,stop,-0.74,0,3.041,0.17,0,70.25,0.218,1,241.0,1,1,1,36.7
2026-01-26,11:20,LONG,PM_LONG,A+,LONG,0.996,stop,-0.74,0,4.765,6.19,0,77.58,0.0568,1,273.2,1,1,1,30.2
2026-01-29,13:00,LONG,VWAP_LONG,A,BOTH,0.459,stop,124.76,1,7.824,85.33,0,28.78,0.286,0,-452.2,0,0,0,41.7
2026-01-30,10:35,LONG,PM_LONG,A+,BOTH,0.473,stop,-0.74,0,0.597,17.5,0,52.23,-0.0688,1,67.2,1,0,0,73.7
2026-02-02,10:40,LONG,PM_LONG,A+,BOTH,0.687,stop,92.76,1,6.148,19.0,0,72.54,0.2112,1,9.2,1,1,1,54.0
2026-02-02,13:20,LONG,PM_LONG,A+,BOTH,0.687,stop,-0.74,0,20.986,20.47,0,81.8,0.3043,1,51.5,1,1,1,17.8
2026-02-03,11:10,SHORT,PM_SHORT,A+,BOTH,0.516,stop,106.26,1,5.448,18.27,0,19.43,-0.2031,0,-52.2,0,0,1,70.2
2026-02-03,11:40,SHORT,PM_SHORT,A+,BOTH,0.516,stop,-0.74,0,8.31,30.23,0,18.01,-0.2034,0,-100.8,0,0,1,51.8
2026-02-05,10:50,SHORT,PM_SHORT,A+,SHORT,0.134,stop,-0.74,0,1.738,102.82,0,19.99,0.0233,0,-710.8,0,0,1,99.8
2026-02-05,11:15,SHORT,PM_SHORT,A+,SHORT,0.134,stop,-279.74,0,1.021,24.07,0,30.15,0.0181,0,-632.0,0,0,1,92.8
2026-02-06,10:30,LONG,PM_LONG,A+,BOTH,0.821,stop,-0.74,0,1.815,14.6,0,75.69,0.1228,1,192.0,1,1,1,91.2
2026-02-06,10:55,LONG,PM_LONG,A+,BOTH,0.821,stop,177.26,1,1.722,15.15,0,74.71,-0.0031,1,162.2,1,1,1,78.8
2026-02-10,10:35,LONG,MOM_LONG,A,BOTH,0.682,stop,-0.74,0,0.258,51.21,0,59.03,-0.0756,1,376.0,1,1,1,59.2
2026-02-10,10:55,LONG,OPEN_LONG,A,BOTH,0.682,no_move,-15.74,0,0.03,67.96,0,56.04,-0.0911,1,359.2,1,1,1,50.3
2026-02-11,10:50,LONG,VWAP_LONG,A,LONG,0.892,stop,-228.74,0,2.09,22.57,0,45.22,0.0988,0,-40.0,0,0,0,75.8
2026-02-11,13:20,LONG,VWAP_LONG,A,LONG,0.892,stop,91.26,1,4.635,8.82,0,45.71,0.0226,0,-53.8,0,0,0,37.2
2026-02-12,10:40,SHORT,PM_SHORT,A+,BOTH,0.659,stop,120.76,1,3.918,0.83,0,28.09,0.0477,0,-107.5,0,0,1,66.2
2026-02-13,10:40,LONG,OPEN_LONG,A,BOTH,0.502,stop,101.26,1,0.324,21.15,1,48.9,0.0186,0,-508.0,1,0,0,98.0
2026-02-13,11:15,LONG,OPEN_LONG,A,BOTH,0.502,stop,-0.74,0,0.94,18.35,0,51.08,-0.0071,0,-468.5,1,0,0,75.8
2026-02-18,10:30,LONG,PM_LONG,A+,BOTH,0.41,stop,96.26,1,3.519,33.09,0,78.3,0.1545,1,338.8,1,1,1,60.7
2026-02-18,11:05,LONG,PM_LONG,A+,BOTH,0.41,stop,-0.74,0,7.303,71.08,0,80.32,0.1065,1,402.8,1,1,1,38.0
2026-02-19,10:50,SHORT,VWAP_SHORT,A+,SHORT,0.146,stop,102.26,1,0.662,45.67,0,35.78,-0.3331,1,80.5,0,0,1,59.7
2026-02-19,13:00,SHORT,PM_SHORT,A+,SHORT,0.146,stop,-118.24,0,1.596,3.59,0,31.55,-0.2956,0,-21.2,0,0,1,39.0
2026-02-20,13:15,SHORT,VWAP_SHORT,A,SHORT,0.066,stop,-0.74,0,5.056,11.9,0,55.22,0.2757,1,178.5,1,1,0,52.2
2026-02-23,10:40,SHORT,PM_SHORT,A+,BOTH,0.62,stop,160.76,1,2.603,44.52,0,48.12,0.0546,0,-153.8,0,0,1,58.5
2026-02-23,11:45,SHORT,PM_SHORT,A+,BOTH,0.62,stop,97.76,1,5.316,20.12,0,40.43,0.1257,0,-232.8,0,0,1,43.5
