date,entry_time,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2025-01-22,10:45,LONG,-87.74,0,4.197,34.25,0,85.78,0.1382,1,426.8,1,1,1,28.8
2025-01-22,11:05,LONG,94.76,1,4.151,45.25,0,80.78,0.1926,1,415.8,1,1,1,26.5
2025-01-24,11:40,LONG,-58.74,0,0.835,15.42,0,46.53,-0.02,1,108.2,1,1,1,19.2
2025-01-29,11:10,SHORT,-0.74,0,2.653,34.83,0,37.63,-0.1278,1,218.2,0,0,1,38.2
2025-01-29,13:05,SHORT,-0.74,0,4.167,4.92,0,30.37,-0.354,1,178.5,0,0,1,33.8
2025-01-30,11:50,LONG,-133.24,0,1.08,12.04,0,45.57,-0.0315,1,160.0,0,1,0,44.0
2025-01-30,13:30,LONG,165.26,1,2.657,9.93,0,43.78,-0.0557,1,134.0,0,0,0,27.7
2025-01-31,10:40,LONG,-0.74,0,3.573,36.67,0,69.6,-0.1475,1,287.8,1,1,1,37.5
2025-01-31,11:40,LONG,20.26,1,4.537,49.67,0,70.51,-0.1251,1,274.8,1,1,1,26.7
2025-02-03,10:30,LONG,-0.74,0,1.979,58.25,0,75.53,0.0284,0,-520.5,1,0,0,77.8
2025-02-03,10:45,LONG,-0.74,0,2.466,17.0,0,77.16,-0.0134,0,-479.2,1,0,0,79.2
2025-02-04,10:50,LONG,-0.74,0,6.04,30.33,0,62.34,0.1024,1,433.8,1,1,1,37.8
2025-02-04,11:50,LONG,-82.74,0,8.567,34.58,0,67.53,0.0123,1,438.0,1,1,1,27.2
2025-02-05,10:30,LONG,-0.74,0,0.635,5.67,0,51.35,-0.3237,0,-59.8,1,1,1,44.5
2025-02-05,11:20,LONG,200.76,1,0.913,3.17,0,52.56,-0.2745,0,-57.2,1,1,1,33.7
2025-02-06,10:30,LONG,-0.74,0,0.82,1.06,0,56.42,0.0436,1,269.5,1,1,1,32.3
2025-02-06,11:05,LONG,-2.24,0,0.35,12.94,0,51.51,-0.1312,1,255.5,1,1,1,35.7
2025-02-10,10:30,LONG,-94.74,0,3.361,14.86,0,87.55,-0.0238,1,50.2,1,1,1,31.2
2025-02-10,13:00,LONG,8.76,1,6.321,13.36,0,86.96,-0.0764,1,48.8,1,1,1,16.3
2025-02-12,11:25,SHORT,-118.24,0,2.929,28.91,0,39.44,0.1584,0,-75.2,0,0,1,39.0
2025-02-13,10:30,LONG,92.26,1,2.456,43.5,0,62.53,-0.3607,1,425.8,1,1,1,49.7
2025-02-13,10:50,LONG,-116.74,0,4.331,1.25,0,66.33,-0.2883,1,470.5,1,1,1,38.5
2025-02-18,11:05,LONG,-15.24,0,1.846,8.61,0,40.1,-0.1294,1,78.5,0,0,0,34.0
2025-02-20,10:40,SHORT,125.26,1,3.082,13.17,0,35.92,0.2164,0,-132.2,0,0,1,49.0
