date,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2024-04-19,SHORT,-89.24,0,7.33,28.33,0,43.64,-0.1342,0,-317.0,0,0,1,29.3,28.3,416.7,1,0,-331.1,0,0.07
2024-04-22,LONG,-0.74,0,1.551,26.0,0,50.46,0.1221,0,-221.0,0,0,0,24.3,176.5,124.5,1,0,-26.0,0,1.42
2024-04-22,LONG,117.76,1,0.189,8.0,0,56.01,0.1281,0,-187.0,1,1,1,19.8,142.5,158.5,1,1,8.0,0,0.9
2024-04-23,LONG,-0.74,0,3.781,43.25,0,84.31,0.1067,1,278.0,1,1,1,36.2,69.2,342.5,0,1,230.0,0,0.2
2024-04-23,LONG,152.76,1,4.187,33.5,0,82.93,0.034,1,268.2,1,1,1,30.3,79.0,332.8,2,1,220.2,0,0.24
2024-04-25,SHORT,-109.74,0,0.311,49.83,0,33.45,0.036,0,-367.5,0,0,1,36.2,49.8,391.9,0,0,-304.6,0,0.13
2024-04-26,LONG,-0.74,0,3.484,64.42,0,66.29,-0.0243,1,493.2,1,1,1,37.2,114.4,436.6,0,1,339.9,0,0.26
2024-04-26,LONG,31.26,1,5.237,89.42,0,67.02,-0.0426,1,518.2,1,1,1,29.5,89.4,461.6,0,1,364.9,0,0.19
2024-04-29,LONG,-98.74,0,0.823,7.09,0,51.94,-0.1995,1,72.2,1,1,1,32.5,7.1,170.3,2,1,81.9,0,0.04
2024-04-29,LONG,-0.74,0,1.7,18.59,0,45.02,-0.2205,1,60.8,0,1,0,22.5,18.6,158.8,1,1,70.4,0,0.12
2024-05-01,LONG,-96.24,0,0.766,48.67,0,42.06,-0.0254,0,-363.8,0,0,0,31.7,359.8,93.7,0,0,-275.4,0,3.84
2024-05-01,LONG,-68.24,0,1.108,49.17,0,43.07,0.018,0,-364.2,0,0,0,22.3,360.3,93.2,0,0,-275.9,0,3.87
2024-05-02,LONG,-134.74,0,1.455,9.58,0,45.96,-0.106,0,-30.0,0,1,0,44.5,282.1,9.6,2,0,-132.1,0,29.39
2024-05-02,LONG,-0.74,0,1.666,2.45,0,42.35,-0.14,0,-45.5,0,1,0,48.2,297.6,2.4,2,0,-147.6,0,124.0
2024-05-03,LONG,-146.24,0,0.502,87.17,0,79.73,-0.0011,1,445.2,1,1,1,48.3,87.2,512.3,0,1,404.4,0,0.17
2024-05-03,LONG,-0.74,0,0.55,91.42,0,72.01,0.0279,1,441.0,1,1,1,36.3,91.4,508.1,0,1,400.2,0,0.18
2024-05-06,LONG,17.26,1,0.85,9.45,0,70.48,-0.4379,1,101.8,1,1,1,21.2,50.3,165.9,3,1,106.2,0,0.3
2024-05-06,LONG,170.76,1,2.093,21.45,0,71.84,-0.3009,1,113.8,1,1,1,14.3,38.3,177.9,4,1,118.2,0,0.22
2024-05-07,LONG,35.26,1,0.508,2.83,0,62.05,-0.0041,1,161.8,1,1,1,20.2,2.8,152.1,2,1,109.4,0,0.02
2024-05-07,LONG,-82.24,0,2.556,21.42,0,63.49,-0.0276,1,186.0,1,1,1,13.5,48.2,176.3,1,1,133.7,0,0.27
2024-05-09,LONG,90.76,1,0.558,8.33,0,51.53,0.159,0,-11.0,1,1,1,27.3,54.0,70.7,1,1,8.3,0,0.76
2024-05-09,LONG,-57.74,0,1.221,15.78,0,58.82,0.1651,1,27.2,1,1,1,18.8,15.8,108.9,3,1,46.6,0,0.15
2024-05-13,LONG,-68.24,0,1.713,28.69,0,61.02,0.0463,1,8.5,1,1,1,22.3,28.7,93.4,2,1,32.3,0,0.31
2024-05-13,LONG,-91.24,0,2.45,27.19,0,60.96,0.0209,1,10.0,1,1,1,15.0,27.2,94.9,3,1,33.8,0,0.29
2024-05-14,LONG,-80.24,0,2.981,2.38,0,69.85,-0.0461,1,64.5,1,1,1,26.3,36.6,104.4,5,1,65.4,0,0.35
2024-05-14,LONG,5.26,1,0.958,15.67,0,59.03,0.0183,1,14.8,1,1,1,30.0,23.3,54.6,4,1,15.7,0,0.43
2024-05-15,LONG,154.76,1,1.433,28.25,0,75.35,-0.1339,1,229.5,1,1,1,26.0,71.0,236.5,1,1,182.0,0,0.3
2024-05-17,LONG,-60.24,0,1.233,8.6,0,55.2,-0.1032,0,-29.8,1,0,0,19.7,67.6,8.6,5,0,-29.5,0,7.86
2024-05-17,LONG,-55.24,0,0.069,2.62,1,46.99,-0.198,0,-52.8,0,0,0,18.0,90.6,3.5,4,0,-52.5,0,25.89
2024-05-23,LONG,-108.24,0,1.928,8.25,0,55.37,0.1265,1,96.8,1,1,1,35.7,57.8,221.8,1,1,162.8,0,0.26
