strategy,family,direction,symbol,regime,sharpe,wr,active_days
ADX Trend,Momentum,LONG,APD,NORMAL,-0.087,60.0,35
ADX Trend,Momentum,LONG,APD,CAUTIOUS,0.922,57.1,28
ADX Trend,Momentum,LONG,APD,WEAK,-1.677,28.2,39
ADX Trend,Momentum,LONG,APD,CHOPPY,0.871,61.3,31
ADX Trend,Momentum,SHORT,APD,ALL,-0.326,53.2,171
ADX Trend,Momentum,SHORT,APD,STRONG,-1.653,36.4,44
ADX Trend,Momentum,SHORT,APD,NORMAL,0.265,56.5,23
ADX Trend,Momentum,SHORT,APD,CAUTIOUS,-0.424,50.0,18
ADX Trend,Momentum,SHORT,APD,WEAK,-0.092,66.0,47
ADX Trend,Momentum,SHORT,APD,CHOPPY,1.045,56.4,39
RSI Revert,Reversion,LONG,ARRY,ALL,1.139,54.3,105
RSI Revert,Reversion,LONG,ARRY,STRONG,1.168,68.4,19
RSI Revert,Reversion,LONG,ARRY,WEAK,-1.301,35.9,39
RSI Revert,Reversion,LONG,ARRY,CHOPPY,1.383,69.6,23
RSI Revert,Reversion,SHORT,ARRY,ALL,-0.424,53.6,112
RSI Revert,Reversion,SHORT,ARRY,STRONG,-1.273,42.4,33
RSI Revert,Reversion,SHORT,ARRY,NORMAL,-1.137,40.0,20
RSI Revert,Reversion,SHORT,ARRY,CAUTIOUS,0.682,62.5,16
RSI Revert,Reversion,SHORT,ARRY,WEAK,1.252,73.7,19
RSI Revert,Reversion,SHORT,ARRY,CHOPPY,0.777,58.3,24
Zscore Revert,Reversion,LONG,ARRY,ALL,1.087,48.3,89
Zscore Revert,Reversion,LONG,ARRY,STRONG,1.702,70.8,24
Zscore Revert,Reversion,LONG,ARRY,WEAK,-1.513,27.3,33
Zscore Revert,Reversion,LONG,ARRY,CHOPPY,0.912,59.1,22
Zscore Revert,Reversion,SHORT,ARRY,ALL,-0.067,52.0,102
Zscore Revert,Reversion,SHORT,ARRY,STRONG,-0.77,42.3,26
Zscore Revert,Reversion,SHORT,ARRY,NORMAL,-0.473,47.4,19
Zscore Revert,Reversion,SHORT,ARRY,WEAK,1.391,71.4,21
Zscore Revert,Reversion,SHORT,ARRY,CHOPPY,0.303,60.9,23
Keltner Revert,Reversion,LONG,ARRY,ALL,0.573,45.1,71
Keltner Revert,Reversion,LONG,ARRY,STRONG,1.268,72.2,18
Keltner Revert,Reversion,LONG,ARRY,WEAK,-1.554,20.7,29
Keltner Revert,Reversion,LONG,ARRY,CHOPPY,1.079,60.0,15
Keltner Revert,Reversion,SHORT,ARRY,ALL,0.061,47.8,46
MFI Revert,Reversion,LONG,ARRY,ALL,-0.014,43.8,48
MFI Revert,Reversion,LONG,ARRY,WEAK,-0.904,31.8,22
MFI Revert,Reversion,SHORT,ARRY,ALL,-0.654,50.0,44
MFI Revert,Reversion,SHORT,ARRY,STRONG,-0.448,60.0,15
RSI Momentum,Momentum,LONG,ARRY,ALL,0.424,46.4,112
RSI Momentum,Momentum,LONG,ARRY,STRONG,1.273,57.6,33
RSI Momentum,Momentum,LONG,ARRY,NORMAL,1.137,60.0,20
RSI Momentum,Momentum,LONG,ARRY,CAUTIOUS,-0.682,37.5,16
RSI Momentum,Momentum,LONG,ARRY,WEAK,-1.252,26.3,19
RSI Momentum,Momentum,LONG,ARRY,CHOPPY,-0.777,41.7,24
