scan_date,score,is_catalyst,drift
2026-07-01,176,0,0.735067452898182
2026-07-01,202,0,-2.1275097924226283
2026-07-01,136,0,0.12597569418579924
2026-07-01,140,0,7.306052219958034
2026-07-01,126,0,-0.19631729226796235
2026-07-01,216,0,-1.2207049502205156
2026-07-01,236,1,-2.5515036290260706
2026-07-01,206,1,-4.1900031937000355
2026-07-01,197,1,-1.7191835734002385
2026-07-01,165,1,6.246052219958035
2026-07-01,158,0,-1.1749694824228527
2026-07-01,211,0,0.08506745289818207
2026-07-01,202,0,-2.3175097924226282
2026-07-01,134,0,-1.2173921222810113
2026-07-01,102,0,-4.528639117052897
2026-07-01,133,0,0.7801987740347469
2026-07-01,126,0,0.1959756941857993
2026-07-01,126,0,-0.19631729226796235
2026-07-01,216,0,-1.240704950220516
2026-07-01,176,1,-2.331503629026071
2026-07-01,161,1,-4.510003193700036
2026-07-01,147,1,-1.5391835734002388
2026-07-01,165,1,5.796052219958034
2026-07-01,161,0,0.11506745289818188
2026-07-01,182,0,-2.307509792422628
2026-07-01,123,0,-0.994969482422853
2026-07-01,156,1,-2.369183573400239
2026-07-01,125,1,4.516052219958034
2026-07-01,118,0,-0.5449694824228528
2026-07-01,118,0,0.06506745289818205
2026-07-01,162,0,-1.0375097924226284
2026-07-01,128,1,-5.220003193700037
2026-07-01,151,1,-2.7691835734002392
2026-07-01,140,1,4.1260522199580345
2026-07-01,128,0,-0.2549325471018178
2026-07-01,111,0,-1.064024305814201
2026-07-01,113,0,-0.7349694824228523
2026-07-01,127,0,-0.8575097924226281
2026-07-01,128,1,-4.260003193700036
2026-07-01,156,1,-2.7691835734002392
2026-07-01,158,0,-0.34493254710181853
2026-07-01,97,0,-0.4149694824228529
2026-07-01,122,0,-0.7875097924226283
2026-07-02,222,1,-6.012216854970429
2026-07-02,177,1,-2.5944486458944906
2026-07-02,177,0,-5.504803238447254
2026-07-02,192,0,-2.7268561633446575
2026-07-02,176,0,-7.8158654294824075
2026-07-02,92,0,-0.8054470004491421
2026-07-02,142,0,-0.9311057278855773
2026-07-02,212,0,-5.188979269646447
2026-07-02,227,1,1.5832167531483217
2026-07-02,142,1,-4.442216854970429
2026-07-02,137,0,-4.514803238447254
2026-07-02,137,0,-1.3611057278855774
2026-07-02,151,0,-6.9358654294824085
2026-07-02,92,0,-0.775447000449142
2026-07-02,153,0,-3.797048770030542
2026-07-02,187,0,-5.0889792696464475
2026-07-02,157,1,1.8832167531483215
2026-07-02,137,1,-4.672216854970428
2026-07-02,177,1,0.9378457833440308
2026-07-02,172,0,-5.924803238447254
2026-07-02,153,0,-8.415865429482409
2026-07-02,212,0,-1.9811057278855775
2026-07-02,97,0,-0.995447000449142
2026-07-02,158,0,-4.087048770030543
2026-07-02,192,0,-5.278979269646448
2026-07-06,172,1,4.72142974653752
2026-07-06,182,1,-1.5554120580821946
2026-07-06,182,1,0.24273966971854755
2026-07-06,202,0,-0.3188490445779486
2026-07-06,166,0,1.2950777940266356
2026-07-06,192,0,1.1484651060166444
2026-07-06,192,1,-1.1854120580821945
2026-07-06,202,1,-0.13726033028145235
2026-07-06,176,0,-0.04884904457794814
2026-07-06,202,1,-1.1954120580821952
2026-07-06,202,1,0.16273966971854747
2026-07-06,161,0,0.21115095542205164
2026-07-06,226,0,-3.8018705617224993
2026-07-06,187,1,-1.5454120580821948
2026-07-06,187,1,0.1427396697185479
2026-07-06,161,0,0.5411509554220517
2026-07-06,168,0,-3.561870561722499
2026-07-06,133,0,-0.3203470169334244
2026-07-06,196,0,-0.17884904457794804
2026-07-06,181,0,-0.34884904457794796
2026-07-06,128,0,-0.13034701693342443
2026-07-06,202,1,-1.995412058082195
2026-07-06,186,0,-0.008849044577948106
2026-07-06,188,0,-3.581870561722499
2026-07-06,187,1,-1.7954120580821948
2026-07-06,222,1,-2.5616488786215816
2026-07-06,128,0,0.1711509554220516
2026-07-06,177,1,-1.6154120580821951
2026-07-06,222,1,-3.0316488786215814
2026-07-06,168,0,0.0511509554220515
2026-07-06,167,1,-0.8454120580821947
2026-07-06,202,1,-2.2716488786215816
2026-07-06,133,0,0.22115095542205143
2026-07-06,127,0,2.205077794026636
2026-07-06,167,1,-1.0854120580821949
2026-07-06,202,1,-1.5216488786215816
2026-07-06,168,0,-0.038849044577948355
2026-07-06,127,0,1.7450777940266358
2026-07-06,162,1,-0.8754120580821949
2026-07-06,158,0,-0.28884904457794836
2026-07-06,122,0,1.8950777940266361
2026-07-09,232,1,-4.189113580307458
2026-07-09,182,0,-5.710483334654956
2026-07-09,173,0,-1.7632076340825598
2026-07-09,148,0,-1.337757257329252
2026-07-09,177,0,-5.8204833346549565
2026-07-09,178,0,-1.58320763408256
2026-07-09,181,0,-1.667757257329252
2026-07-09,247,1,-0.5158749416275503
2026-07-09,262,0,-2.232479237222436
2026-07-09,158,0,-0.54320763408256
2026-07-09,127,0,0.1900593397341055
2026-07-09,197,0,-1.6024792372224363
2026-07-09,132,0,-0.8032076340825602
2026-07-09,122,0,-0.7799406602658943
2026-07-09,137,0,-1.1732076340825603
2026-07-09,202,0,-1.7724792372224363
2026-07-09,152,0,-1.3232076340825603
2026-07-09,177,0,-1.5024792372224363
2026-07-09,142,0,-1.35320763408256
2026-07-09,182,0,-1.4024792372224362
2026-07-10,87,1,0.12401473565451826
2026-07-10,82,1,0.8740147356545183
2026-07-10,92,1,0.6740147356545182
2026-07-10,82,1,0.8840147356545183
2026-07-10,97,1,0.8540147356545182
2026-07-10,92,1,0.3240147356545182
2026-07-10,107,1,-0.12598526434548174
2026-07-10,112,1,0.014014735654518162
2026-07-10,87,1,0.1740147356545183
2026-07-10,87,1,0.1640147356545183
2026-07-10,137,1,-0.0859852643454817
2026-07-10,107,1,-0.025985264345481873
2026-07-10,102,1,0.07401473565451822
2026-07-14,187,1,1.167759271652029
2026-07-14,168,0,-3.732938085661368
2026-07-14,207,0,-5.876277841129658
2026-07-14,151,1,1.1577592716520293
2026-07-14,142,0,-4.042938085661369
2026-07-14,132,0,-4.296277841129658
2026-07-14,176,1,0.6877592716520287
2026-07-14,158,0,-3.7929380856613686
2026-07-15,153,0,-1.4248775263246656
2026-07-15,166,0,0.2381345275193163
2026-07-15,161,0,-0.8498794756669761
2026-07-15,146,0,0.7681345275193165
2026-07-15,152,1,-5.171300615235643
2026-07-15,111,0,1.6881345275193165
2026-07-16,147,1,0.6623043299247708
2026-07-22,157,1,-2.9458999439166154
2026-07-22,212,1,-2.12571329563732
2026-07-22,126,0,3.6032216179311494
2026-07-22,182,0,0.35977968598185184
2026-07-22,122,0,-2.6331047436273805
2026-07-22,152,0,-3.591422984270345
2026-07-22,152,1,-4.638239303252631
2026-07-22,157,1,-2.9366333354931875
2026-07-22,147,1,3.079037276054974
2026-07-22,156,1,-4.188239303252631
2026-07-22,131,0,-1.8233826454848563
2026-07-22,187,0,-1.0059859620404552
2026-07-22,118,0,-1.8508697299062318
2026-07-22,102,0,-3.7514229842703446
2026-07-22,132,0,0.9397796859818519
2026-07-22,138,1,-5.850858161864709
2026-07-22,121,1,-3.638239303252631
2026-07-22,162,1,-2.921539966349969
2026-07-22,126,0,-1.853382645484856
2026-07-22,172,0,-1.0459859620404552
2026-07-22,83,0,-1.3608697299062316
2026-07-22,92,0,-3.6614229842703447
2026-07-22,87,0,1.309779685981852
2026-07-22,156,1,1.6690372760549739
2026-07-22,142,1,-3.041539966349969
2026-07-22,146,1,-4.14823930325263
2026-07-22,116,0,-1.603382645484856
2026-07-22,157,0,-1.0859859620404553
2026-07-22,117,0,-2.9792636914268362
2026-07-22,83,0,-1.3908697299062318
2026-07-22,117,0,-3.8914229842703447
2026-07-22,97,0,1.339779685981852
2026-07-24,112,1,-3.760178971490977
2026-07-24,97,0,0.6436330845000029
2026-07-24,137,1,-0.8343213988525271
2026-07-28,101,0,-1.4969700965224035
2026-07-28,108,1,-1.1062889164101866
2026-07-28,83,0,-1.606970096522403
2026-07-30,177,1,3.510865397903805
2026-07-30,177,1,-0.6194108499907571
2026-07-30,246,0,-0.8843662322989255
2026-07-30,207,0,1.8775107713432329
2026-07-30,222,0,-0.12517532475636228
2026-07-30,227,0,0.313516604209064
2026-07-30,212,0,0.0937312273790607
2026-07-30,178,0,1.2062463972991053
2026-07-30,217,0,-0.4498495087651926
2026-07-30,192,0,1.4202977539257624
2026-07-30,182,0,1.089789933840773
2026-07-30,182,0,0.1655898349684728
2026-07-30,162,0,-0.014344838728754361
2026-07-30,188,0,1.7921691824991486
2026-07-30,167,1,6.960865397903806
2026-07-30,152,1,1.471007367446556
2026-07-30,153,0,0.23563376770107458
2026-07-30,172,0,3.247510771343233
2026-07-30,182,0,0.8601504912348075
2026-07-30,207,0,0.654824675243638
2026-07-30,216,0,-1.6770731716373573
2026-07-30,187,0,0.963516604209064
2026-07-30,182,0,1.8997899338407729
2026-07-30,142,0,1.0456551612712455
2026-07-30,152,1,2.4643488813824392
2026-07-30,152,1,6.350865397903806
2026-07-30,138,0,0.22563376770107457
2026-07-30,157,0,1.907510771343233
2026-07-30,206,0,-1.6470731716373574
2026-07-30,182,0,0.6735166042090641
2026-07-30,182,0,1.919789933840773
2026-07-30,142,0,0.6256551612712455
2026-07-30,212,0,-1.1943662322989255
2026-07-30,197,0,0.6875107713432325
2026-07-30,222,0,-1.009849508765193
2026-07-30,258,0,-2.2970731716373574
2026-07-30,202,0,0.10351660420906406
2026-07-30,227,0,0.38482467524363795
2026-07-30,197,0,1.629789933840773
2026-07-30,183,0,0.2937312273790609
2026-07-30,167,0,0.7762463972991054
2026-07-30,182,0,1.5421691824991486
2026-07-30,142,1,3.269836239316602
2026-07-30,177,1,1.7567436302845003
2026-07-30,162,1,5.390865397903806
2026-07-30,167,1,0.14674363028450088
2026-07-30,167,1,4.310865397903806
2026-07-30,167,1,1.0267436302844999
2026-07-30,162,1,0.10674363028449996
2026-07-30,162,1,0.10674363028449996
2026-07-31,122,1,-2.173516557043918
2026-07-31,137,0,0.2988207201450921
2026-07-31,132,1,-2.2735165570439175
2026-07-31,152,0,0.3288207201450919
2026-07-31,98,0,-1.1625917707590885
2026-07-31,162,0,0.025539663553134417
2026-07-31,152,1,-2.7035165570439177
2026-07-31,126,0,0.43404242542093696
2026-07-31,142,0,0.11882072014509193
2026-07-31,152,0,-0.23446033644686537
2026-07-31,141,0,0.31404242542093685
2026-07-31,137,0,0.09882072014509191
2026-07-31,137,0,-0.2644603364468656
2026-07-31,136,0,-0.02595757457906256
2026-07-31,142,0,0.058820720145091876
2026-07-31,152,0,-0.6044603364468655
2026-07-31,126,0,0.054042425420936624
2026-07-31,142,0,0.26882072014509184
2026-07-31,152,0,-0.6244603364468659
2026-07-31,142,0,0.35882072014509214
2026-07-31,152,0,-0.24446033644686604
2026-07-31,152,1,-0.6744603364468658
2026-07-31,142,0,0.3488207201450919
2026-07-31,162,1,-0.4744603364468656
2026-07-31,152,0,0.198820720145092
2026-07-31,147,1,-0.2644603364468656
2026-07-31,142,0,-0.04117927985490777
2026-08-03,116,1,-4.145435429099839
