symbol,price,dvol_m,atr_pct,rank_score
UAL,115.41000366210938,688.6807158576966,4.175795553727228,4.175795553727228
CMCSA,23.790000915527344,937.2319259721756,4.16441491186705,4.16441491186705
ARWR,74.30000305175781,164.99051666870116,5.492502260873647,4.162866550787224
AAON,111.41999816894533,97.55889860687256,6.228043382979667,4.139289960949479
ALK,45.5099983215332,157.49262774887086,5.518410576036311,4.134153192938538
CRS,557.77001953125,431.1640187988281,4.2636620673518175,4.108666607873439
FUN,17.530000686645508,49.12340609970093,7.334362958560456,4.106218120767973
POWI,70.44999694824219,70.67640051422119,6.685593156017419,4.099359907170429
BLDR,74.26000213623047,164.82073133392333,5.409562286727703,4.0989496518707
HUM,400.0,582.3513785095215,4.057141985212054,4.057141985212054
HCA,371.1799926757813,617.9634762878418,4.0450138808201315,4.0450138808201315
QLYS,159.42999267578125,115.08255160903931,5.817152621040086,4.029213939817722
BBWI,20.8700008392334,126.94374546756744,5.654048803290557,4.013468684756709
GMED,77.0,171.61204541778565,5.229128977363318,4.002430457249211
OLLI,66.51000213623047,163.4863117477417,5.253773757790747,3.972822985383824
CBOE,273.4100036621094,407.72128506469727,4.15728188738622,3.9505523227813515
QDEL,17.3799991607666,20.413762527179717,8.778561923967084,3.9460414285341683
SPHR,142.6199951171875,94.8472262664795,5.967157424782668,3.9380493398400493
BIIB,205.9900054931641,273.22503365478514,4.578585290721602,3.9365786219734016
ADI,375.3599853515625,1867.6414616226195,3.9253734661243858,3.9253734661243858
NRG,129.11000061035156,332.37115181427004,4.312490820659195,3.8939602431250493
FISV,50.630001068115234,347.4748991016388,4.24367275139983,3.874630068451926
WRBY,26.40999984741211,75.35455636777878,6.2040896889456585,3.8655646920573856
CAR,160.57000732421875,85.7769370513916,5.999164804688759,3.8609210869444373
VSEC,199.61000061035156,116.035875,5.554044350071545,3.854915943081882
HON,225.02000427246097,978.5069886291504,3.849815928036919,3.849815928036919
NWL,5.230000019073486,60.3245492634058,6.528271878193309,3.8475055341917344
CSGP,29.780000686645508,189.24255754032137,4.902618307605736,3.8453890363953787
IRDM,46.68000030517578,104.43430506095886,5.680008425115389,3.8398766547478016
CLF,9.279999732971191,188.16014314899445,4.895321541743182,3.8341635188393797
GWRE,150.02000427246094,209.37116973342896,4.763173978567922,3.8316264583157817
CMI,648.47998046875,583.2957660614014,3.8313755047673834,3.8313755047673834
ADEA,25.3799991607666,44.76850393530655,6.980721230960721,3.8185716107444683
NCLH,19.459999084472656,304.52173632421494,4.309205115290283,3.806792806462743
MTRN,245.1199951171875,85.99334365234375,5.89565538200651,3.7966957636447605
TDC,30.520000457763672,107.00905305252076,5.5630968220468935,3.7838093650103013
SMPL,11.079999923706056,28.648001947116853,7.718542106897744,3.7762988906235044
ADBE,237.25,1353.729824674988,3.770585744186785,3.770585744186785
GIS,37.970001220703125,420.2254276237488,3.931676978696713,3.76448794240039
LUMN,6.28000020980835,91.23310435431004,5.75523231411202,3.7614775231377235
CCL,26.40999984741211,521.8023027227401,3.737762641144779,3.737762641144779
CEG,252.38999938964844,805.5577318206787,3.7322608792856817,3.7322608792856817
ATI,186.1699981689453,298.1975614128113,4.233840678307562,3.7206432664747715
RH,187.8800048828125,130.44402342071533,5.203167923899768,3.7186164627064326
WHR,38.2400016784668,88.62994676265717,5.704573257197672,3.701483200731985
CDW,133.24000549316406,264.8335296951294,4.331068559041317,3.6948413867838577
EME,744.1599731445312,343.87396677856447,4.055003303661291,3.6927383434297494
IT,140.19000244140625,182.85699644775391,4.747129497986424,3.6916156079004048
EPAM,88.66000366210938,147.08176952629088,4.9998390822559875,3.6821649307934208
PRIM,85.95999908447266,131.2790555419922,5.142757432760698,3.6813100830833476
PYPL,56.560001373291016,635.9719066286087,3.677511829275537,3.677511829275537
RCL,286.9599914550781,654.0102552856446,3.66302939295052,3.66302939295052
SYK,319.8699951171875,850.3290415863037,3.660861654207072,3.660861654207072
UTI,40.310001373291016,37.37795724697113,6.988694952999003,3.6543275676888523
BROS,68.36000061035156,209.13809445648192,4.541923117604122,3.6526290104046306
SRPT,17.219999313354492,59.57535734443665,6.213704260914797,3.6506882013836948
JCI,140.4600067138672,633.8644735275269,3.649234471204737,3.649234471204737
CPRT,27.61000061035156,359.53361504650115,3.960780029879656,3.647313531937587
CENX,41.5,97.30469037036896,5.488813600523748,3.6456034378228006
KSS,17.299999237060547,70.79042574496269,5.937241864133959,3.641965865447692
ALGT,100.9000015258789,59.676702532196046,6.190004866803984,3.638309947898973
FRPT,56.63999938964844,76.73843747348785,5.810508105596764,3.6368454703804973
MOH,225.3699951171875,227.5242049255371,4.423202498186073,3.6328814207807563
PLXS,250.6300048828125,90.69163137817382,5.554290954985299,3.6247489144376885
CHWY,20.93000030517578,205.24121081619265,4.52290143614979,3.6202683587709847
PBF,62.75,136.10419472675324,5.002845846663568,3.6136201365253835
CC,17.520000457763672,51.85942071218491,6.36007748961324,3.609331911060682
CSCO,111.94000244140624,2698.111838106918,3.607162330315641,3.607162330315641
WCC,327.8599853515625,258.5114219024658,4.242881274805123,3.597810728008344
VIRT,55.709999084472656,80.43705934524536,5.616841263143842,3.5572443290475935
FBIN,51.45000076293945,108.7357411081314,5.200611711562117,3.5514443048463367
