symbol,gap_fill_rate,gap_go_rate,trend_1d,trend_3d,reversal_tendency,vol_move_corr,up_vol_ratio,avg_atr_pct,avg_range_pct,return_skew,vol_clustering,intraday_revert_rate,val_gap_fill,val_gap_go,val_trend_1d,consistency,fvg_density,fvg_fill_rate,orb_breakout_rate,orb_hold_1h,vwap_reclaim_rate,morning_continuation,catalyst_wr,catalyst_avg,data_years,high_perf
BBAI,0.7665903890160183,0.6224256292906178,0.47368421052631576,0.44360902255639095,0.46040723981900455,0.29486080862202174,1.8952445491217071,9.224338393494676,8.384498624674254,14.355772736184514,0.1329634639630951,0.516642547033285,0.6682926829268293,0.6487804878048781,0.4609375,0.901702293910811,22.83897080080948,0.6645569620253164,0.45180722891566266,0.5024390243902439,0.5582329317269076,0.0,0.7304964539007093,7.985775993807123,4.7,False
ON,0.4979757085020243,0.757085020242915,0.4943181818181818,0.5454545454545454,0.5104001322751323,0.40384854084402927,0.9593567363674615,4.473329735395942,4.019874195785325,-0.12420138037788121,0.21693125440026056,0.4542743538767396,0.4913294797687861,0.7427745664739884,0.30985915492957744,0.9933537712667618,28.67052023121387,0.6794354838709677,0.4779116465863454,0.5373831775700935,0.5642570281124498,0.0,0.5260416666666666,0.0309036113853521,6.0,False
LRCX,0.4893917963224894,0.7637906647807637,0.40540540540540543,0.5337837837837838,0.5105539971949509,0.43143942922025635,1.0202370365157343,3.8900123431397793,3.4764274033991605,0.03631569183513372,0.18719708904724197,0.4731610337972167,0.49002849002849,0.7663817663817664,0.44776119402985076,0.9993633062939994,29.421965317919074,0.6493123772102161,0.5080321285140562,0.5364806866952789,0.5763052208835341,0.0,0.4816753926701571,-0.33730782573947915,6.0,False
DDOG,0.5952380952380952,0.7226890756302521,0.4685714285714286,0.4857142857142857,0.5045787545787546,0.46619478044020957,1.0160317317104695,5.621984250379247,5.17778189161012,0.5794118257124428,0.10688407002475678,0.5089463220675944,0.5394736842105263,0.7302631578947368,0.3958333333333333,0.9442355889724311,27.398843930635838,0.6561181434599156,0.4598393574297189,0.5121951219512195,0.5421686746987951,0.0,0.5365853658536586,0.8642857207277588,6.0,False
MDB,0.6167832167832168,0.7006993006993008,0.49214659685863876,0.518324607329843,0.49349674086089335,0.5203945319890395,1.0175719041184887,5.777394514404386,5.285370028608445,0.6372184612395524,0.09632435667571757,0.49204771371769385,0.5203761755485894,0.7272727272727273,0.4852941176470588,0.9035929587653726,27.485549132947977,0.6708727655099895,0.45582329317269077,0.43137254901960786,0.5542168674698795,0.0,0.4942528735632184,0.6798273705368183,6.0,False
POET,0.7623626373626373,0.5535714285714286,0.42134831460674155,0.4101123595505618,0.47190309690309684,0.3891828092906504,0.8326900264267599,7.534217139320233,6.94683925265089,1.0272503365017749,0.22911914996513771,0.5447316103379721,0.6943765281173594,0.6039119804400978,0.43846153846153846,0.9320138907547221,25.953757225433524,0.688195991091314,0.41566265060240964,0.478494623655914,0.5240963855421686,0.0,0.5476190476190477,2.9116656425139307,6.0,False
EOSE,0.7308970099667774,0.6079734219269103,0.4479638009049774,0.4253393665158371,0.47268733525793905,0.42515350051986506,1.197465782449683,11.60417230106275,10.616619663937145,0.729590886357027,0.15850077429438286,0.5069182389937107,0.7180851063829787,0.6648936170212766,0.44370860927152317,0.9871880964162013,26.184971098265894,0.6799116997792495,0.4959839357429719,0.502283105022831,0.5542168674698795,0.0,0.5481481481481482,2.6034438615693865,5.1,False
INDI,0.6303972366148531,0.6839378238341969,0.4142857142857143,0.45,0.49971139971139966,0.35064347985879185,1.0326628899988937,4.4440160430974425,4.126338010730571,0.6196264424932666,0.21222340800335338,0.4721669980119284,0.6330532212885154,0.7058823529411765,0.44144144144144143,0.9973440153263378,25.08670520231214,0.6820276497695853,0.463855421686747,0.45588235294117646,0.5943775100401606,0.0,0.49032258064516127,1.2716294053103026,6.0,False
NVDA,0.5353107344632768,0.731638418079096,0.5058823529411764,0.5352941176470588,0.4964875905180417,0.4134074360910216,1.0010157860781694,4.331373462105981,3.947491108123887,0.42409007285992073,0.12355628995293916,0.49204771371769385,0.4369747899159664,0.7759103641456583,0.5222222222222223,0.9016640554526896,26.502890173410403,0.6357688113413305,0.5120481927710844,0.47413793103448276,0.5261044176706827,0.0,0.5531914893617021,1.035158333113768,6.0,True
INTC,0.505338078291815,0.7402135231316725,0.43529411764705883,0.43529411764705883,0.49222773446728085,0.4447051928428744,0.9566708714530241,3.108599373146321,2.771305629364046,-0.149046434003118,0.27112783878837793,0.49105367793240556,0.4434250764525994,0.7737003058103975,0.5538461538461539,0.9380869981607844,27.485549132947977,0.6435331230283912,0.4899598393574297,0.46511627906976744,0.5261044176706827,0.0,0.5214723926380368,-0.08861382421474952,6.0,False
TSLA,0.5363636363636364,0.7051948051948052,0.5607476635514018,0.5747663551401869,0.486659984726995,0.45455517657623107,1.0723835804808972,5.478231647030593,4.9775210108723416,0.07453910022357732,0.10959184799954741,0.5159045725646123,0.5230352303523035,0.7560975609756098,0.5283018867924528,0.9866715939886671,27.77456647398844,0.6690946930280958,0.4859437751004016,0.481651376146789,0.570281124497992,0.0,0.5406698564593302,0.926572921412486,6.0,False
