strategy,family,direction,symbol,regime,sharpe,wr,active_days
Donchian/Turtle,Momentum,SHORT,APD,ALL,0.028,43.1,58
Donchian/Turtle,Momentum,SHORT,APD,STRONG,-0.955,35.0,20
ADX Trend,Momentum,LONG,APD,ALL,0.148,51.1,284
ADX Trend,Momentum,LONG,APD,STRONG,1.632,66.7,69
ADX Trend,Momentum,LONG,APD,NORMAL,-0.044,56.9,51
ADX Trend,Momentum,LONG,APD,CAUTIOUS,0.815,52.4,42
ADX Trend,Momentum,LONG,APD,WEAK,-2.087,25.0,68
ADX Trend,Momentum,LONG,APD,CHOPPY,1.038,57.4,54
ADX Trend,Momentum,SHORT,APD,ALL,-0.029,52.2,276
ADX Trend,Momentum,SHORT,APD,STRONG,-1.821,38.0,71
ADX Trend,Momentum,SHORT,APD,NORMAL,-0.392,47.8,46
ADX Trend,Momentum,SHORT,APD,CAUTIOUS,-0.058,50.0,36
ADX Trend,Momentum,SHORT,APD,WEAK,0.142,65.7,67
ADX Trend,Momentum,SHORT,APD,CHOPPY,0.906,58.9,56
RSI Revert,Reversion,LONG,ARRY,ALL,0.1,47.1,136
RSI Revert,Reversion,LONG,ARRY,STRONG,1.612,65.0,40
RSI Revert,Reversion,LONG,ARRY,NORMAL,0.028,52.4,21
RSI Revert,Reversion,LONG,ARRY,WEAK,-0.754,32.4,34
RSI Revert,Reversion,LONG,ARRY,CHOPPY,-0.506,44.8,29
RSI Revert,Reversion,SHORT,ARRY,ALL,0.251,56.8,81
RSI Revert,Reversion,SHORT,ARRY,STRONG,-0.628,45.5,22
RSI Revert,Reversion,SHORT,ARRY,CHOPPY,0.434,57.9,19
Zscore Revert,Reversion,LONG,ARRY,ALL,0.303,44.6,56
Zscore Revert,Reversion,LONG,ARRY,STRONG,1.303,63.6,22
Zscore Revert,Reversion,SHORT,ARRY,ALL,0.222,52.9,51
Zscore Revert,Reversion,SHORT,ARRY,STRONG,-0.33,40.0,15
Keltner Revert,Reversion,LONG,ARRY,ALL,0.063,48.9,88
Keltner Revert,Reversion,LONG,ARRY,STRONG,1.333,70.0,30
Keltner Revert,Reversion,LONG,ARRY,WEAK,-0.754,23.8,21
Keltner Revert,Reversion,LONG,ARRY,CHOPPY,-0.424,41.2,17
Keltner Revert,Reversion,SHORT,ARRY,ALL,0.372,50.0,38
MFI Revert,Reversion,LONG,ARRY,ALL,0.0,43.8,32
MFI Revert,Reversion,SHORT,ARRY,ALL,-0.6,50.0,28
RSI Momentum,Momentum,LONG,ARRY,ALL,-0.251,43.2,81
RSI Momentum,Momentum,LONG,ARRY,STRONG,0.628,54.5,22
RSI Momentum,Momentum,LONG,ARRY,CHOPPY,-0.434,42.1,19
RSI Momentum,Momentum,SHORT,ARRY,ALL,-0.1,52.9,136
RSI Momentum,Momentum,SHORT,ARRY,STRONG,-1.612,35.0,40
RSI Momentum,Momentum,SHORT,ARRY,NORMAL,-0.028,47.6,21
RSI Momentum,Momentum,SHORT,ARRY,WEAK,0.754,67.6,34
RSI Momentum,Momentum,SHORT,ARRY,CHOPPY,0.506,55.2,29
Donchian/Turtle,Momentum,LONG,ARRY,ALL,-0.047,55.9,34
Donchian/Turtle,Momentum,SHORT,ARRY,ALL,-0.372,51.2,84
Donchian/Turtle,Momentum,SHORT,ARRY,STRONG,-1.38,33.3,33
Donchian/Turtle,Momentum,SHORT,ARRY,WEAK,1.648,80.0,20
Donchian/Turtle,Momentum,SHORT,ARRY,CHOPPY,-0.143,60.0,15
ADX Trend,Momentum,LONG,ARRY,ALL,0.383,50.5,275
ADX Trend,Momentum,LONG,ARRY,STRONG,1.664,69.2,65
ADX Trend,Momentum,LONG,ARRY,NORMAL,0.056,48.1,52
ADX Trend,Momentum,LONG,ARRY,CAUTIOUS,0.38,53.5,43
ADX Trend,Momentum,LONG,ARRY,WEAK,-2.314,28.6,63
