strategy,family,direction,symbol,regime,sharpe,wr,active_days
Keltner Revert,Reversion,LONG,AI,NORMAL,0.933,57.1,28
Keltner Revert,Reversion,LONG,AI,CAUTIOUS,-0.853,38.5,26
Keltner Revert,Reversion,LONG,AI,WEAK,-2.151,27.5,51
Keltner Revert,Reversion,LONG,AI,CHOPPY,-0.312,48.5,33
Keltner Revert,Reversion,SHORT,AI,ALL,0.825,54.4,103
Keltner Revert,Reversion,SHORT,AI,STRONG,-1.038,25.0,28
Keltner Revert,Reversion,SHORT,AI,NORMAL,0.214,56.0,25
Keltner Revert,Reversion,SHORT,AI,CHOPPY,0.394,57.7,26
MFI Revert,Reversion,LONG,AI,ALL,-0.038,47.3,55
MFI Revert,Reversion,LONG,AI,WEAK,-1.496,20.0,15
MFI Revert,Reversion,SHORT,AI,ALL,0.217,51.8,56
MFI Revert,Reversion,SHORT,AI,NORMAL,-0.514,42.9,21
RSI Momentum,Momentum,LONG,AI,ALL,-0.557,48.9,141
RSI Momentum,Momentum,LONG,AI,STRONG,1.208,72.7,33
RSI Momentum,Momentum,LONG,AI,NORMAL,0.626,58.3,36
RSI Momentum,Momentum,LONG,AI,WEAK,-2.218,14.8,27
RSI Momentum,Momentum,LONG,AI,CHOPPY,-0.108,53.1,32
RSI Momentum,Momentum,SHORT,AI,ALL,0.121,49.4,233
RSI Momentum,Momentum,SHORT,AI,STRONG,-2.964,17.2,64
RSI Momentum,Momentum,SHORT,AI,NORMAL,-1.469,29.4,34
RSI Momentum,Momentum,SHORT,AI,CAUTIOUS,0.514,66.7,30
RSI Momentum,Momentum,SHORT,AI,WEAK,2.664,75.9,58
RSI Momentum,Momentum,SHORT,AI,CHOPPY,0.827,63.8,47
Donchian/Turtle,Momentum,LONG,AI,ALL,-0.05,50.0,160
Donchian/Turtle,Momentum,LONG,AI,STRONG,1.425,70.5,44
Donchian/Turtle,Momentum,LONG,AI,NORMAL,0.448,57.9,38
Donchian/Turtle,Momentum,LONG,AI,CAUTIOUS,-0.259,43.8,16
Donchian/Turtle,Momentum,LONG,AI,WEAK,-1.155,13.0,23
Donchian/Turtle,Momentum,LONG,AI,CHOPPY,-0.506,43.6,39
Donchian/Turtle,Momentum,SHORT,AI,ALL,0.618,51.2,203
Donchian/Turtle,Momentum,SHORT,AI,STRONG,-3.033,19.7,61
Donchian/Turtle,Momentum,SHORT,AI,NORMAL,-0.827,42.9,28
Donchian/Turtle,Momentum,SHORT,AI,CAUTIOUS,0.768,54.5,22
Donchian/Turtle,Momentum,SHORT,AI,WEAK,2.154,80.4,51
Donchian/Turtle,Momentum,SHORT,AI,CHOPPY,0.644,65.9,41
ADX Trend,Momentum,LONG,AI,ALL,-0.261,47.1,238
ADX Trend,Momentum,LONG,AI,STRONG,1.583,72.3,65
ADX Trend,Momentum,LONG,AI,NORMAL,0.413,54.7,53
ADX Trend,Momentum,LONG,AI,CAUTIOUS,-1.525,29.4,34
ADX Trend,Momentum,LONG,AI,WEAK,-2.506,6.7,30
ADX Trend,Momentum,LONG,AI,CHOPPY,0.422,42.9,56
ADX Trend,Momentum,SHORT,AI,ALL,-0.132,51.1,305
ADX Trend,Momentum,SHORT,AI,STRONG,-2.692,25.6,82
ADX Trend,Momentum,SHORT,AI,NORMAL,-1.394,39.6,48
ADX Trend,Momentum,SHORT,AI,CAUTIOUS,0.133,66.7,36
ADX Trend,Momentum,SHORT,AI,WEAK,2.222,73.2,71
ADX Trend,Momentum,SHORT,AI,CHOPPY,0.609,58.8,68
RSI Revert,Reversion,LONG,APD,ALL,0.917,56.6,159
RSI Revert,Reversion,LONG,APD,STRONG,2.028,72.7,44
RSI Revert,Reversion,LONG,APD,NORMAL,0.145,60.7,28
RSI Revert,Reversion,LONG,APD,WEAK,0.113,42.2,45
RSI Revert,Reversion,LONG,APD,CHOPPY,-0.17,50.0,28
RSI Revert,Reversion,SHORT,APD,ALL,-0.103,50.2,207
RSI Revert,Reversion,SHORT,APD,STRONG,-1.434,33.9,59
RSI Revert,Reversion,SHORT,APD,NORMAL,0.145,50.0,44
RSI Revert,Reversion,SHORT,APD,CAUTIOUS,-0.627,50.0,28
RSI Revert,Reversion,SHORT,APD,WEAK,0.621,71.0,31
RSI Revert,Reversion,SHORT,APD,CHOPPY,0.734,57.8,45
Zscore Revert,Reversion,LONG,APD,ALL,1.194,53.8,143
Zscore Revert,Reversion,LONG,APD,STRONG,1.723,66.7,45
Zscore Revert,Reversion,LONG,APD,NORMAL,0.342,55.6,27
Zscore Revert,Reversion,LONG,APD,WEAK,0.665,51.6,31
Zscore Revert,Reversion,LONG,APD,CHOPPY,-0.228,30.8,26
Zscore Revert,Reversion,SHORT,APD,ALL,-0.162,47.9,165
Zscore Revert,Reversion,SHORT,APD,STRONG,-1.716,28.6,42
Zscore Revert,Reversion,SHORT,APD,NORMAL,0.131,48.4,31
Zscore Revert,Reversion,SHORT,APD,CAUTIOUS,-0.423,43.8,16
Zscore Revert,Reversion,SHORT,APD,WEAK,1.763,75.0,28
Zscore Revert,Reversion,SHORT,APD,CHOPPY,0.013,50.0,48
Keltner Revert,Reversion,LONG,APD,ALL,1.045,54.6,130
Keltner Revert,Reversion,LONG,APD,STRONG,1.655,71.1,38
Keltner Revert,Reversion,LONG,APD,NORMAL,0.701,52.2,23
Keltner Revert,Reversion,LONG,APD,WEAK,0.214,42.9,35
Keltner Revert,Reversion,LONG,APD,CHOPPY,-0.054,40.9,22
Keltner Revert,Reversion,SHORT,APD,ALL,-0.005,49.7,155
Keltner Revert,Reversion,SHORT,APD,STRONG,-1.248,31.6,38
Keltner Revert,Reversion,SHORT,APD,NORMAL,0.501,56.7,30
Keltner Revert,Reversion,SHORT,APD,CAUTIOUS,-0.938,38.9,18
Keltner Revert,Reversion,SHORT,APD,WEAK,1.122,68.0,25
Keltner Revert,Reversion,SHORT,APD,CHOPPY,0.348,54.5,44
MFI Revert,Reversion,LONG,APD,ALL,0.82,64.7,34
MFI Revert,Reversion,SHORT,APD,ALL,0.55,58.1,62
MFI Revert,Reversion,SHORT,APD,STRONG,-0.469,35.0,20
RSI Momentum,Momentum,LONG,APD,ALL,0.103,49.8,207
RSI Momentum,Momentum,LONG,APD,STRONG,1.434,66.1,59
RSI Momentum,Momentum,LONG,APD,NORMAL,-0.145,50.0,44
RSI Momentum,Momentum,LONG,APD,CAUTIOUS,0.627,50.0,28
RSI Momentum,Momentum,LONG,APD,WEAK,-0.621,29.0,31
RSI Momentum,Momentum,LONG,APD,CHOPPY,-0.734,42.2,45
RSI Momentum,Momentum,SHORT,APD,ALL,-0.917,43.4,159
RSI Momentum,Momentum,SHORT,APD,STRONG,-2.028,27.3,44
RSI Momentum,Momentum,SHORT,APD,NORMAL,-0.145,39.3,28
RSI Momentum,Momentum,SHORT,APD,WEAK,-0.113,57.8,45
RSI Momentum,Momentum,SHORT,APD,CHOPPY,0.17,50.0,28
Donchian/Turtle,Momentum,LONG,APD,ALL,-0.483,50.5,194
Donchian/Turtle,Momentum,LONG,APD,STRONG,1.149,65.5,55
Donchian/Turtle,Momentum,LONG,APD,NORMAL,-0.56,48.8,41
Donchian/Turtle,Momentum,LONG,APD,CAUTIOUS,0.455,52.2,23
Donchian/Turtle,Momentum,LONG,APD,WEAK,-1.5,25.0,28
Donchian/Turtle,Momentum,LONG,APD,CHOPPY,-0.101,48.9,47
Donchian/Turtle,Momentum,SHORT,APD,ALL,-0.685,45.4,174
Donchian/Turtle,Momentum,SHORT,APD,STRONG,-2.253,28.8,59
Donchian/Turtle,Momentum,SHORT,APD,NORMAL,-0.216,46.7,30
Donchian/Turtle,Momentum,SHORT,APD,CAUTIOUS,0.318,50.0,16
Donchian/Turtle,Momentum,SHORT,APD,WEAK,-0.402,51.4,37
Donchian/Turtle,Momentum,SHORT,APD,CHOPPY,0.515,65.6,32
ADX Trend,Momentum,LONG,APD,ALL,0.178,51.5,274
ADX Trend,Momentum,LONG,APD,STRONG,1.545,66.7,66
ADX Trend,Momentum,LONG,APD,NORMAL,-0.04,58.5,53
ADX Trend,Momentum,LONG,APD,CAUTIOUS,1.003,56.4,39
ADX Trend,Momentum,LONG,APD,WEAK,-2.001,24.2,62
ADX Trend,Momentum,LONG,APD,CHOPPY,0.831,53.7,54
ADX Trend,Momentum,SHORT,APD,ALL,-0.011,52.6,274
ADX Trend,Momentum,SHORT,APD,STRONG,-2.108,34.2,79
ADX Trend,Momentum,SHORT,APD,NORMAL,-0.333,47.7,44
ADX Trend,Momentum,SHORT,APD,CAUTIOUS,0.094,57.6,33
ADX Trend,Momentum,SHORT,APD,WEAK,0.145,67.2,64
ADX Trend,Momentum,SHORT,APD,CHOPPY,1.126,63.0,54
RSI Revert,Reversion,LONG,ARRY,ALL,0.516,51.6,190
RSI Revert,Reversion,LONG,ARRY,STRONG,1.82,68.0,50
RSI Revert,Reversion,LONG,ARRY,NORMAL,0.061,56.2,32
RSI Revert,Reversion,LONG,ARRY,CAUTIOUS,0.213,47.6,21
RSI Revert,Reversion,LONG,ARRY,WEAK,-1.21,34.0,50
RSI Revert,Reversion,LONG,ARRY,CHOPPY,0.213,51.4,37
RSI Revert,Reversion,SHORT,ARRY,ALL,0.154,56.7,171
RSI Revert,Reversion,SHORT,ARRY,STRONG,-1.141,43.8,48
RSI Revert,Reversion,SHORT,ARRY,NORMAL,-0.628,48.6,37
RSI Revert,Reversion,SHORT,ARRY,CAUTIOUS,1.035,71.4,21
RSI Revert,Reversion,SHORT,ARRY,WEAK,1.407,73.3,30
RSI Revert,Reversion,SHORT,ARRY,CHOPPY,0.774,60.0,35
Zscore Revert,Reversion,LONG,ARRY,ALL,0.801,49.3,148
Zscore Revert,Reversion,LONG,ARRY,STRONG,1.941,72.1,43
Zscore Revert,Reversion,LONG,ARRY,NORMAL,0.797,61.9,21
Zscore Revert,Reversion,LONG,ARRY,WEAK,-1.435,25.6,39
