symbol,gap_fill_rate,gap_go_rate,trend_1d,trend_3d,reversal_tendency,vol_move_corr,up_vol_ratio,avg_atr_pct,avg_range_pct,return_skew,vol_clustering,intraday_revert_rate,val_gap_fill,val_gap_go,val_trend_1d,drift,fvg_density,fvg_fill_rate,orb_breakout_rate,orb_hold_1h,vwap_reclaim_rate,morning_continuation,catalyst_wr,catalyst_avg,data_years,cluster,cluster_raw,cluster_dist,bt_n,bt_wr,bt_ev,bt_ann,bt_total,bt_prof_yr,bt_n_yr,bt_avg_w,bt_avg_l,passed
SMTC,0.5640287769784172,0.7007194244604317,0.46774193548387094,0.5080645161290323,0.5447361149488809,0.31711900562830303,0.8996417529769328,4.215036435965969,3.7514999526459163,-0.8473737683003081,0.21267612447805212,0.4840954274353877,0.574468085106383,0.7180851063829787,0.5486725663716814,0.013902495025256423,28.262748487467587,0.6768603465851172,0.5110220440881763,0.5520361990950227,0.5811623246492986,0.0,0.5031847133757962,0.17319364628813488,6.0,INSTITUTIONAL,2,2.803,54,92.5925925925926,65.62092592592593,590.5883333333335,3543.5300000000007,6,6,77.7222,-85.64500000000001,True
MTRN,0.5473515248796148,0.7191011235955056,0.45098039215686275,0.5,0.522298960069858,0.263040284223809,1.0031453868202571,3.433283786051177,3.1593720915777688,0.413121349315767,0.19504001944827698,0.49204771371769385,0.5431309904153354,0.7220447284345048,0.43478260869565216,0.003582069651639319,32.59365994236311,0.7011494252873564,0.5470941883767535,0.5654008438818565,0.6432865731462926,0.0,0.5223880597014925,0.8053226191298588,6.0,INSTITUTIONAL,2,5.391,42,97.61904761904762,65.58690476190476,459.10833333333335,2754.65,6,6,67.27707317073171,-3.71,True
HLIT,0.6354166666666666,0.6961805555555556,0.36,0.432,0.513014675524528,0.4395457079224962,1.0299463838441554,4.07937621204908,3.790351804557316,0.7498682899282322,0.11723068469065397,0.46222664015904574,0.5783132530120482,0.6987951807228916,0.55,0.02985901941097724,27.225583405358684,0.6952380952380952,0.531062124248497,0.4831932773109244,0.6172344689378757,0.0,0.5196850393700787,0.1720029421037744,6.0,INSTITUTIONAL,2,4.426,49,87.75510204081633,65.21122448979592,532.5583333333333,3195.35,6,6,74.8339534883721,-3.751666666666667,True
AAL,0.5632022471910112,0.7120786516853933,0.512987012987013,0.5064935064935064,0.474001210653753,0.49656188693427283,1.1349196741177223,5.268538526294053,4.670168073860439,1.513469251976167,0.24152717073502372,0.5039761431411531,0.5205479452054794,0.7328767123287672,0.38596491228070173,0.03172618131445282,25.410544511668107,0.6791383219954649,0.4969939879759519,0.5066666666666667,0.5551102204408818,0.0,0.5567010309278351,1.1535788911421576,6.0,MOMENTUM,1,2.333,49,79.59183673469387,65.17775510204082,532.285,3193.7099999999996,6,6,94.29384615384618,-48.375,True
UTI,0.735144312393888,0.6213921901528013,0.4649122807017544,0.4649122807017544,0.5044250667013731,0.3171753179164063,0.9436981099078497,4.709181231886237,4.524430489210381,-0.08373181173896722,0.30563501166953994,0.532803180914513,0.6743295019157088,0.6551724137931034,0.5081967213114754,0.047297517059240624,26.541786743515846,0.6851248642779587,0.531062124248497,0.5720164609053497,0.6112224448897795,0.0,0.5428571428571428,0.5154753508682354,6.0,INSTITUTIONAL,2,4.651,73,93.15068493150685,64.54301369863013,785.2733333333334,4711.64,6,6,74.8460294117647,-75.578,True
ATI,0.5905292479108635,0.7075208913649025,0.43333333333333335,0.5,0.5062212539336722,0.3568957457879175,1.0133415484455714,4.899547243665461,4.497851150620385,0.36024883816604364,0.2777707897436339,0.5248508946322068,0.6192170818505338,0.6903914590747331,0.4883720930232558,0.022908633114919863,24.610951008645532,0.6721311475409836,0.5070140280561122,0.45689655172413796,0.6152304609218436,0.0,0.5402298850574713,0.8061900898327037,6.0,INSTITUTIONAL,2,3.262,58,87.93103448275862,64.4387931034483,622.9083333333334,3737.4500000000003,6,6,74.77000000000002,-10.831428571428571,True
AGX,0.6172566371681416,0.7035398230088495,0.44,0.42,0.4947257383966245,0.2855813420057664,1.0464456939768756,2.9893440509181737,2.808010467733333,0.17590860212496337,0.19356623515397953,0.48807157057654077,0.5723905723905723,0.6801346801346801,0.5168539325842697,0.03413560382586933,27.86743515850144,0.6783867631851086,0.5190380761523046,0.5191489361702127,0.6152304609218436,0.0,0.5367647058823529,0.46807631780225206,6.0,INSTITUTIONAL,2,3.557,56,96.42857142857143,63.92232142857143,596.6083333333333,3579.65,6,6,68.47277777777778,-58.94,True
COHU,0.5754437869822485,0.727810650887574,0.5584415584415584,0.5584415584415584,0.5196283045120255,0.283000268770342,1.0419655889587558,4.648497976698984,4.299000985907255,-0.16931869298451072,0.21176542786496508,0.5139165009940357,0.5512048192771084,0.7319277108433735,0.43548387096774194,0.014178013830469793,30.567559781042927,0.6927426955702167,0.47695390781563124,0.5476190476190477,0.5991983967935872,0.0,0.524822695035461,0.3255828488484515,6.0,INSTITUTIONAL,2,4.05,46,95.65217391304348,63.26478260869566,485.03000000000003,2910.1800000000003,6,6,69.10727272727273,-65.27,True
EZPW,0.6882591093117408,0.6396761133603239,0.4854368932038835,0.4174757281553398,0.47099567099567097,0.36143604815989094,1.0572977914514248,3.9030213035249095,3.716833663372058,-0.7202795690900698,0.23029865356894927,0.4990059642147117,0.6783625730994152,0.6842105263157895,0.4666666666666667,0.027215474583895616,26.188418323249785,0.7304730473047305,0.5070140280561122,0.504424778761062,0.6112224448897795,0.0,0.616822429906542,0.8918850000072885,6.0,HIGH_VOL,0,4.116,52,96.15384615384616,63.11288461538462,546.9783333333334,3281.87,6,6,66.518,-22.015,True
FIX,0.5333333333333333,0.736936936936937,0.5232558139534884,0.4418604651162791,0.5162356601205522,0.2571977859257758,0.9610182031550486,3.346690832865575,3.098920789652784,0.17861369725177062,0.31297946968764606,0.5168986083499006,0.5466237942122186,0.729903536977492,0.5970149253731343,0.010161930419165133,27.636887608069163,0.6986444212721585,0.5070140280561122,0.5378151260504201,0.6232464929859719,0.0,0.5857142857142857,1.0545931455424695,6.0,INSTITUTIONAL,2,3.828,49,95.91836734693877,62.09081632653061,507.075,3042.45,6,6,65.33063829787234,-14.045,True
