date,ib_range_pts,day_ret_pct,day_range_pct,vol_vol,continuation,post_move_pts,live_regime,hmm_state,hmm_regime
2025-02-07,282.75,-1.3456398071782687,1.8950903566288182,0.7320755381435862,1,153.5,TRENDING,0,HMM_QUIET
2025-02-10,131.25,0.33081394013186616,0.6960876656941349,0.6973228456484746,-1,26.75,CHOPPY,0,HMM_QUIET
2025-02-11,145.0,0.40080621940685285,0.7877915346962281,0.6124588487124268,-1,45.25,CHOPPY,0,HMM_QUIET
2025-02-12,203.25,1.1078629266142317,1.4071599266838355,0.7139066039957113,1,92.25,TRENDING,0,HMM_QUIET
2025-02-13,161.5,0.9625387244647164,1.3203470626564697,0.7340105859594069,1,106.0,CHOPPY,0,HMM_QUIET
2025-02-14,72.0,0.3935138069068458,0.6151480199923107,0.5594328703928066,1,56.75,QUIET,0,HMM_QUIET
2025-02-17,50.0,-0.02585315408479835,0.27089609280158267,0.7992581388762285,-1,6.75,QUIET,0,HMM_QUIET
2025-02-18,137.75,-0.10782761060754119,0.7413148229268457,0.7389384074316863,-1,94.25,CHOPPY,0,HMM_QUIET
2025-02-19,103.5,0.041652594844084206,0.8184172013959249,0.5811715803144637,-1,67.25,CHOPPY,0,HMM_QUIET
2025-02-20,276.25,-0.33318325078793337,1.2438090950022513,0.7632008135015985,-1,48.75,TRENDING,0,HMM_QUIET
2025-02-21,195.75,-2.2660176233295024,2.3708110788091856,0.43186023904700355,1,321.75,CHOPPY,1,HMM_CHOPPY
2025-02-24,365.0,-1.5216292005700363,1.8135429595917802,0.6087308275603467,1,84.75,TRENDING,1,HMM_CHOPPY
2025-02-25,369.5,-0.9513235551919593,1.9026471103839186,0.5932274366906433,-1,139.0,TRENDING,1,HMM_CHOPPY
2025-02-26,183.5,-0.13889869811898203,1.624408503425383,0.48127344785805976,-1,73.5,CHOPPY,1,HMM_CHOPPY
2025-02-27,484.5,-3.403153628078068,3.741711768702701,0.5436827854745538,1,512.25,TRENDING,1,HMM_CHOPPY
2025-02-28,298.75,1.4460376625426465,2.3505700375168463,0.4796958372725318,1,132.0,TRENDING,1,HMM_CHOPPY
2025-03-03,361.0,-2.582429977559574,3.8148724220224883,0.44839869892355666,1,446.5,TRENDING,1,HMM_CHOPPY
2025-03-04,354.25,0.46454467248371634,3.2309204866658474,0.5013574544748288,-1,278.25,TRENDING,1,HMM_CHOPPY
2025-03-05,226.5,1.107914549794944,2.499846973128481,0.44092480016679436,-1,317.5,TRENDING,1,HMM_CHOPPY
2025-03-06,255.25,-0.8726798286642705,2.5134163753631036,0.39697143779234606,-1,324.5,TRENDING,1,HMM_CHOPPY
