date,year,symbol,grade,score,regime,spy_chg,entry,pnl_usd,pnl_pct,result,dna_cluster,patterns
2020-08-12,2020,COHR,A+,110,STRONG,1.39,51.86,7.54,0.33,WIN,MOMENTUM,ORB | VWAP reclaim | 1.3x vol | EMA uptrend | +2.1%
2020-11-05,2020,COHR,A+,195,STRONG,1.95,49.47,214.18,9.31,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +16.6% | 5.3x vol
2020-11-06,2020,COHR,A+,95,NORMAL,-0.02,56.04,41.4,2.07,WIN,MOMENTUM,VWAP reclaim | 2.6x vol | EMA uptrend | +1.8%
2020-12-07,2020,COHR,A+,95,NORMAL,-0.21,71.39,26.05,1.3,WIN,MOMENTUM,VWAP reclaim | HOD break | 1.3x vol | EMA uptrend | +1.7%
2020-12-18,2020,COHR,A+,95,NORMAL,-0.4,74.57,0.0,0.0,LOSS,MOMENTUM,ORB | 3.2x vol | EMA uptrend | +1.7%
2021-01-12,2021,COHR,A+,90,NORMAL,0.02,86.52,66.67,2.9,WIN,MOMENTUM,ORB | 2.0x vol | EMA uptrend | RSI 75 strong | +2.3%
2021-01-19,2021,COHR,A+,175,STRONG,0.79,91.01,48.77,2.12,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +4.5% | 1.4x vol
2021-02-09,2021,COHR,A+,170,NORMAL,-0.07,92.28,43.62,1.9,WIN,MOMENTUM,ORB | VWAP reclaim | RS +6.0% | 1.6x vol | EMA uptrend
2021-04-12,2021,COHR,A+,130,NORMAL,0.04,78.84,33.84,1.47,WIN,MOMENTUM,ORB | VWAP reclaim | RS +4.9% | 1.5x vol | EMA uptrend
2021-10-28,2021,COHR,A+,110,STRONG,0.96,58.54,109.36,4.75,WIN,MOMENTUM,VWAP reclaim | RS +4.7% | 1.8x vol | +5.7% | Strong mkt
2021-12-15,2021,COHR,A+,190,STRONG,1.56,66.75,122.11,5.31,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +7.1% | 2.1x vol
2022-01-04,2022,COHR,A+,130,NORMAL,-0.03,71.59,81.02,4.05,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +4.2% | 1.7x vol | EMA uptrend
2022-03-18,2022,COHR,A+,120,STRONG,1.1,68.27,73.82,3.69,WIN,MOMENTUM,VWAP reclaim | HOD break | 1.4x vol | EMA uptrend | RSI 52
2022-05-04,2022,COHR,A+,160,STRONG,3.05,63.7,92.43,4.02,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | 1.5x vol | RSI 55
2022-05-10,2022,COHR,A+,115,NORMAL,0.23,62.7,-115.0,-5.0,STOP,MOMENTUM,ORB | RS +4.5% | 1.7x vol | RSI 48 | +4.7%
2022-08-16,2022,COHR,A+,80,NORMAL,0.2,53.5,41.12,2.06,WIN,MOMENTUM,VWAP reclaim | 1.9x vol | EMA uptrend | +2.5%
2022-08-18,2022,COHR,A+,130,NORMAL,0.29,53.19,136.87,6.84,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +6.6% | 2.0x vol | Above EMA21
2022-11-10,2022,COHR,A+,190,STRONG,5.5,33.5,112.08,4.87,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +3.4% | 1.8x vol
2022-11-11,2022,COHR,A+,170,STRONG,0.97,36.48,128.74,5.6,WIN,MOMENTUM,ORB | VWAP reclaim | RS +9.4% | 2.2x vol | EMA uptrend
2022-11-15,2022,COHR,A+,170,STRONG,0.85,38.8,136.04,5.91,WIN,MOMENTUM,ORB | VWAP reclaim | RS +8.5% | 2.1x vol | EMA uptrend
2022-12-13,2022,COHR,A+,155,STRONG,0.76,38.16,64.73,2.81,WIN,MOMENTUM,ORB | RS +7.7% | 2.0x vol | EMA uptrend | RSI 58
2023-02-02,2023,COHR,A+,90,STRONG,1.46,45.17,55.5,2.41,WIN,MOMENTUM,VWAP reclaim | 1.4x vol | EMA uptrend | +3.6% | Strong mkt
2023-05-26,2023,COHR,A+,190,STRONG,1.3,33.26,184.39,8.02,WIN,MOMENTUM,ORB | VWAP reclaim | RS +12.7% | 3.2x vol | EMA uptrend
2023-05-30,2023,COHR,A+,95,NORMAL,0.04,40.5,-115.0,-5.0,STOP,MOMENTUM,RS +4.2% | 2.8x vol | EMA uptrend | +4.2%
